asset,direction,signal_time,entry_time,exit_time,entry_binance,entry_okx,exit_binance,exit_okx,entry_z,entry_spread_bps,exit_reason,holding_hours,pnl_before_exit_cost,entry_cost,exit_cost,funding_buffer_cost,forced_cost,equity_after,component
ETH,1,2021-02-23 14:00:00+00:00,2021-02-23 15:00:00+00:00,2021-02-23 16:00:00+00:00,1520.01,1553.44,1574.4,1572.9,34.658951204611434,221.15338161543448,convergence,1,58.846155931299535,4.050268956651859,4.072187311441718,5.060811061336498,0.0,10171.335280231518,basis_l336_z5_s60_h4_c1
DOGE,-1,2021-04-14 00:00:00+00:00,2021-04-14 01:00:00+00:00,2021-04-14 04:00:00+00:00,0.105416,0.104865,0.111832,0.111799,-7.379858864688176,-60.88588470855288,convergence,3,13.368645848632866,4.068534112092608,4.072254156787223,5.083633373059712,0.0,10171.479504438212,basis_l336_z5_s60_h4_c1
DOGE,-1,2021-04-16 11:00:00+00:00,2021-04-16 12:00:00+00:00,2021-04-16 16:00:00+00:00,0.303519,0.300137,0.37108,0.371074,-12.338168329954707,-107.12187813683371,max_hold,4,34.966765037672644,4.068591801775285,4.080951071069643,5.083705456318218,0.0,10193.213021146721,basis_l336_z5_s60_h4_c1
SOL,-1,2021-05-16 16:00:00+00:00,2021-05-16 17:00:00+00:00,2021-05-16 21:00:00+00:00,46.775,46.425,43.179,43.114,-10.255782816704087,-84.32531112648026,max_hold,4,14.161223195123995,4.077285208458688,4.081318783653354,5.094567867969131,0.0,10194.121072481763,basis_l336_z5_s60_h4_c1
BTC,1,2021-05-19 13:00:00+00:00,2021-05-19 14:00:00+00:00,2021-05-19 18:00:00+00:00,35649.99,35869.9,39372.55,39385.6,15.555443677506153,63.194013954517516,max_hold,4,16.32222016749961,4.077648428992705,4.082546257688108,5.0950217120263845,0.0,10197.188076250555,basis_l336_z5_s60_h4_c1
XRP,1,2021-08-12 10:00:00+00:00,2021-08-12 11:00:00+00:00,2021-08-12 14:00:00+00:00,1.0052,1.01178,0.9718,0.97112,12.27188726766573,65.64813691890308,convergence,3,17.734438656496877,4.0788752305002225,4.084337455870621,5.096554600510028,0.0,10201.662747620172,basis_l336_z5_s60_h4_c1
DOGE,1,2021-09-07 14:00:00+00:00,2021-09-07 15:00:00+00:00,2021-09-07 18:00:00+00:00,0.23307,0.238278,0.24914,0.249056,58.333941426125655,200.09994020776267,convergence,3,60.46239080851501,4.080665099048069,4.103217789331856,5.0987910412605615,0.0,10248.842464499046,basis_l336_z5_s60_h4_c1
SOL,1,2021-11-26 10:00:00+00:00,2021-11-26 11:00:00+00:00,2021-11-26 12:00:00+00:00,186.585,188.175,185.272,185.203,25.679273760823538,92.39764431362455,convergence,1,22.427795551270464,4.0995369857996184,4.106868289225807,5.1223714637566236,0.0,10257.941483311535,basis_l336_z5_s60_h4_c1
ETH,-1,2022-05-28 16:00:00+00:00,2022-05-28 17:00:00+00:00,2022-05-28 18:00:00+00:00,1793.84,1773.76,1775.75,1776.87,-59.7930176020462,-113.07727192793887,convergence,1,30.34584734017891,4.103176593324615,4.1136736616233565,5.126919153359106,0.0,10274.943561243408,basis_l336_z5_s60_h4_c1
ETH,1,2022-06-01 16:00:00+00:00,2022-06-01 17:00:00+00:00,2022-06-01 21:00:00+00:00,1856.67,1867.98,1791.91,1792.31,27.399265872424028,60.73105120151231,max_hold,4,14.454526432707198,4.109977424497363,4.114115244100647,5.135416791909455,0.0,10276.038578215608,basis_l336_z5_s60_h4_c1
