policy,lookback_hours,entry_abs_z,entry_abs_spread_bps,max_hold_hours,stability_bars,eligible_before_final,all_prefinal_years_positive,score,prefinal_total_return,prefinal_cagr,prefinal_max_drawdown,prefinal_sharpe,prefinal_annual_turnover,prefinal_average_gross,prefinal_max_gross,prefinal_costs,prefinal_trade_count,prefinal_liquidations,prefinal_min_margin_buffer,prefinal_observations_per_year
basis_l168_z4_s45_h1_c2,168,4.0,45.0,1,2,False,False,-0.048660412104043156,-0.00969883392715587,-0.0019476070657206135,-0.016593758100619693,-0.5356640374546652,4.40061246377473,0.000251004016064257,0.5,286.0825660784359,22,0,0.5,8765.82
basis_l168_z5_s45_h1_c2,168,5.0,45.0,1,2,False,False,-0.049072883644342744,-0.00961306855030164,-0.0019303179233786105,-0.016593758100619582,-0.5422862199830757,4.200584624512243,0.0002395947426067908,0.5,273.0584078616019,21,0,0.5,8765.82
basis_l168_z4_s30_h2_c1,168,4.0,30.0,2,1,False,False,-0.05383524861916451,-0.020827917855424816,-0.0042013113540328995,-0.0354500732768408,-0.4798482265730219,15.402143623211556,0.0017113910186199342,0.5,997.6853276802508,77,0,0.5,8765.82
basis_l168_z4_s60_h1_c2,168,4.0,60.0,1,2,False,False,-0.055475772800888196,-0.009839124251328712,-0.001975890283812176,-0.01512962443663557,-0.627333369000626,3.600501106724779,0.0002053669222343921,0.5,233.93012964235152,18,0,0.5,8765.82
basis_l168_z5_s60_h1_c2,168,5.0,60.0,1,2,False,False,-0.05635127657552008,-0.00975337102436713,-0.001958601631417034,-0.015129624436635347,-0.6397434483338545,3.4004732674622917,0.00019395764877692587,0.5,220.9195240236249,17,0,0.5,8765.82
basis_l336_z5_s60_h1_c2,336,5.0,60.0,1,2,False,False,-0.05635127657552008,-0.00975337102436713,-0.001958601631417034,-0.015129624436635347,-0.6397434483338545,3.4004732674622917,0.00019395764877692587,0.5,220.9195240236249,17,0,0.5,8765.82
basis_l336_z5_s30_h2_c2,336,5.0,30.0,2,2,False,False,-0.056504477846000836,-0.01237062134772382,-0.0024868041898499227,-0.015343211001065171,-0.6260377310611818,4.800668142299706,0.0006046914932457101,0.5,316.0025237067008,24,0,0.5,8765.82
basis_l168_z4_s30_h2_c2,168,4.0,30.0,2,2,False,False,-0.056724259453272245,-0.013315423169158236,-0.0026777552427219575,-0.017119514978175876,-0.6191770370382234,5.600779499349657,0.0006845564074479737,0.5,367.88838729855934,28,0,0.5,8765.82
basis_l672_z4_s30_h4_c2,672,4.0,30.0,4,2,False,False,-0.05904424843516776,-0.009271874759504084,-0.001861549718340405,-0.009982558402280572,-0.6910539699989763,1.8002505533623896,0.0004107338444687842,0.5,116.44484708383462,9,0,0.5,8765.82
basis_l672_z5_s30_h4_c2,672,5.0,30.0,4,2,False,False,-0.05904424843516776,-0.009271874759504084,-0.001861549718340405,-0.009982558402280572,-0.6910539699989763,1.8002505533623896,0.0004107338444687842,0.5,116.44484708383462,9,0,0.5,8765.82
basis_l336_z3_s30_h4_c1,336,3.0,30.0,4,1,False,False,-0.060216997361084566,-0.023217307380024477,-0.0046878465187527585,-0.030925964739527023,-0.5466917920057611,17.402422015836432,0.003240233661920409,0.5,1119.9600258916366,87,0,0.5,8765.82
basis_l672_z4_s30_h2_c1,672,4.0,30.0,2,1,False,False,-0.06030448840194866,-0.01717303571348927,-0.0034589268241724813,-0.027027557948742897,-0.6292784604614328,7.601057891974534,0.0008671047827674334,0.5,490.69001534968703,38,0,0.5,8765.82
