policy,family,flow_threshold,pressure_threshold,volume_threshold,max_impact_bps,depth_threshold,persistence,hold_minutes,eligible_development,preliminary_gate,btc_development_return,eth_development_return,score,development_total_return,development_cagr,development_max_drawdown,development_sharpe,development_annual_turnover,development_average_gross,development_max_gross,development_costs,development_trade_count,development_unexplained_events
absorption_reversal_f1.5_p0.5_v0_i3_d0_n1_h1,absorption_reversal,1.5,0.5,0.0,3.0,0.0,1,1,False,False,,,-2.0160026752242777,-0.6692592642979686,-0.5223033337408937,-0.669263071433743,-25.71394209925374,1410.759293773225,0.001341155470693011,0.2,6383.134612818274,5282,0
absorption_reversal_f2_p0.5_v0_i6_d0_n1_h1,absorption_reversal,2.0,0.5,0.0,6.0,0.0,1,1,False,False,,,-2.0643628287495357,-0.6754763279235517,-0.5283179782651704,-0.6754800634950984,-26.513696843391763,1428.1200196526752,0.0013576596557734815,0.2,6395.626816253873,5347,0
absorption_reversal_f1.5_p1_v0_i6_d0_n1_h1,absorption_reversal,1.5,1.0,0.0,6.0,0.0,1,1,False,False,,,-2.128763822586886,-0.6982944928806496,-0.5507302253683279,-0.6982979657937368,-27.114998372171197,1524.5388203062414,0.0014493213606050182,0.2,6642.485979687486,5708,0
flow_exhaustion_reversal_f1.5_p0_v1_i3_d0_n1_h3,flow_exhaustion_reversal,1.5,0.0,1.0,3.0,0.0,1,3,False,False,,,-2.1355908680636,-0.8906739889144326,-0.7718942464264713,-0.8906739889144326,-19.907238307358686,2792.6730737775156,0.007964665809295411,0.2,8436.98934716121,10456,0
agreement_continuation_f1.5_p1.5_v0_i0_d0_n1_h3,agreement_continuation,1.5,1.5,0.0,0.0,0.0,1,3,False,False,,,-2.138376229321881,-0.8023691760047527,-0.6612900703697784,-0.8023691760047527,-23.266148301188895,2335.4182629218244,0.006660581277398535,0.2,8669.8922178383,8744,0
flow_exhaustion_reversal_f1.5_p0_v1_i3_d0_n1_h1,flow_exhaustion_reversal,1.5,0.0,1.0,3.0,0.0,1,1,False,False,,,-2.138570748797273,-0.9046487281179805,-0.7918024313921828,-0.9046498257004646,-19.137951708742584,2994.0574939791463,0.002846337150031929,0.2,8629.711398993044,11210,0
absorption_reversal_f1.5_p0.5_v0_i6_d0_n1_h12,absorption_reversal,1.5,0.5,0.0,6.0,0.0,1,12,False,False,,,-2.2028018192871555,-0.8157447280592837,-0.6767741957442597,-0.8158114115029325,-24.653446709446936,2117.741469202556,0.024159080031332564,0.2,7747.488718784495,7929,0
agreement_continuation_f2_p1_v0_i0_d0_n1_h3,agreement_continuation,2.0,1.0,0.0,0.0,0.0,1,3,False,False,,,-2.2404764895198506,-0.8132809478447593,-0.6738946603922691,-0.8133128131950332,-25.002658035644448,2351.1764602585563,0.006705523442925354,0.2,8655.130295662473,8803,0
flow_exhaustion_reversal_f2_p0_v1_i6_d0_n1_h12,flow_exhaustion_reversal,2.0,0.0,1.0,6.0,0.0,1,12,False,False,,,-2.2945678793847275,-0.8741780762343678,-0.7494530691213296,-0.8742237939280569,-23.917853692169448,2617.9974626211942,0.029865973321619596,0.2,8281.627141563675,9802,0
reversed_agreement_control_f1.5_p1.5_v0_i0_d0_n1_h3,reversed_agreement_control,1.5,1.5,0.0,0.0,0.0,1,3,False,False,,,-2.3034764573852033,-0.8470520778056231,-0.7145676088105299,-0.8470520778056231,-25.41323629003857,2335.4182629218244,0.006660581277398535,0.2,7878.791671816696,8744,0
reversed_agreement_control_f2_p1_v0_i0_d0_n1_h3,reversed_agreement_control,2.0,1.0,0.0,0.0,0.0,1,3,False,False,,,-2.3231273646710338,-0.8418899533721962,-0.7081706055364035,-0.8418899533721962,-25.9130023554311,2351.1764602585563,0.006705523442925354,0.2,7925.599266087143,8803,0
reversed_agreement_control_f1.5_p1_v0_i0_d0_n1_h12,reversed_agreement_control,1.5,1.0,0.0,0.0,0.0,1,12,False,False,,,-2.376150226880653,-0.9157583220864809,-0.8083306583512448,-0.915763443332235,-23.151074293351133,3186.8950952862783,0.03635592671634003,0.2,8621.44589145377,11932,0
