policy,family,universe,target_vol,gross_cap,rebalance_days,no_trade_band,eligible_before_2021,prefinal_cagr,prefinal_sharpe,prefinal_max_drawdown,annual_turnover,validation_2016_2018_return,validation_2019_2020_return,worst_validation_return,stress_prefinal_cagr,stress_prefinal_dd,score
ensemble_v10_g125_r5_b2_micro,ensemble,micro,0.1,1.25,5,0.02,False,0.0028337642849689537,0.0898763098378833,-0.1022807769469668,8.462934339301425,0.013598346979450726,-0.00293674330079452,-0.00293674330079452,-0.0014183473191380358,-0.10992691860179948,-0.11097182975694579
ensemble_v12_g100_r5_b2_micro,ensemble,micro,0.12,1.0,5,0.02,False,0.002839040583465513,0.0899873267954468,-0.1022807769469648,8.478941993260808,0.013598346979454723,-0.002879090331695089,-0.002879090331695089,-0.0014210908294367552,-0.10992691860179726,-0.11109485361449828
ensemble_v12_g125_r5_b2_micro,ensemble,micro,0.12,1.25,5,0.02,False,0.002839040583465513,0.0899873267954468,-0.1022807769469648,8.478941993260808,0.013598346979454723,-0.002879090331695089,-0.002879090331695089,-0.0014210908294367552,-0.10992691860179726,-0.11109485361449828
ensemble_v15_g100_r5_b2_micro,ensemble,micro,0.15,1.0,5,0.02,False,0.002839040583465735,0.08998732679544079,-0.10228077694696724,8.478941993260808,0.013598346979456943,-0.002879090331690204,-0.002879090331690204,-0.0014210908294368663,-0.10992691860180182,-0.11109485361450082
ensemble_v15_g125_r5_b2_micro,ensemble,micro,0.15,1.25,5,0.02,False,0.002839040583465735,0.08998732679544079,-0.10228077694696724,8.478941993260808,0.013598346979456943,-0.002879090331690204,-0.002879090331690204,-0.0014210908294368663,-0.10992691860180182,-0.11109485361450082
breakout_v10_g100_r10_b2_micro,breakout,micro,0.1,1.0,10,0.02,False,-0.0022333224933861473,-0.02514564260730143,-0.1617292747941762,5.501772560870995,0.022911145023993162,0.012278374413360993,0.012278374413360993,-0.004987152252198701,-0.16599321005253942,-0.1793206334153558
breakout_v10_g125_r10_b2_micro,breakout,micro,0.1,1.25,10,0.02,False,-0.0022333224933861473,-0.02514564260730143,-0.1617292747941762,5.501772560870995,0.022911145023993162,0.012278374413360993,0.012278374413360993,-0.004987152252198701,-0.16599321005253942,-0.1793206334153558
breakout_v12_g100_r10_b2_micro,breakout,micro,0.12,1.0,10,0.02,False,-0.0024427390291588136,-0.029417294449796468,-0.16366079018974977,5.523778920957807,0.022911145023990276,0.012278374413362547,0.012278374413362547,-0.005206944553168058,-0.16801558369887692,-0.18402547587573587
breakout_v12_g125_r10_b2_micro,breakout,micro,0.12,1.25,10,0.02,False,-0.0024427390291588136,-0.029417294449796468,-0.16366079018974977,5.523778920957807,0.022911145023990276,0.012278374413362547,0.012278374413362547,-0.005206944553168058,-0.16801558369887692,-0.18402547587573587
breakout_v15_g100_r10_b2_micro,breakout,micro,0.15,1.0,10,0.02,False,-0.0024427390291592577,-0.029417294449810626,-0.16366079018975177,5.523778920957809,0.02291114502399405,0.012278374413359439,0.012278374413359439,-0.005206944553168169,-0.1680155836988766,-0.18402547587574924
breakout_v15_g125_r10_b2_micro,breakout,micro,0.15,1.25,10,0.02,False,-0.0024427390291592577,-0.029417294449810626,-0.16366079018975177,5.523778920957809,0.02291114502399405,0.012278374413359439,0.012278374413359439,-0.005206944553168169,-0.1680155836988766,-0.18402547587574924
slow_trend_v15_g100_r10_b2_full,slow_trend,full,0.15,1.0,10,0.02,False,0.0005775284800593194,0.03511195124814346,-0.13552518489273302,8.358250155718782,-0.06528723456696028,0.03726960195341045,-0.06528723456696028,-0.0036437246970906223,-0.16896443505398684,-0.20004653923180932
slow_trend_v15_g125_r10_b2_full,slow_trend,full,0.15,1.25,10,0.02,False,0.0005775284800593194,0.03511195124814346,-0.13552518489273302,8.358250155718782,-0.06528723456696028,0.03726960195341045,-0.06528723456696028,-0.0036437246970906223,-0.16896443505398684,-0.20004653923180932
slow_trend_v12_g100_r10_b2_full,slow_trend,full,0.12,1.0,10,0.02,False,0.0005775284800590974,0.03511195124813102,-0.1355251848927338,8.358250155718782,-0.06528723456696439,0.03726960195341178,-0.06528723456696439,-0.0036437246970910664,-0.16896443505398973,-0.20004653923182092
slow_trend_v12_g125_r10_b2_full,slow_trend,full,0.12,1.25,10,0.02,False,0.0005775284800590974,0.03511195124813102,-0.1355251848927338,8.358250155718782,-0.06528723456696439,0.03726960195341178,-0.06528723456696439,-0.0036437246970910664,-0.16896443505398973,-0.20004653923182092
slow_trend_v10_g100_r10_b2_full,slow_trend,full,0.1,1.0,10,0.02,False,0.000524640818033939,0.03390740933315292,-0.1355251848927338,8.350216650411143,-0.06528723456696794,0.03666722581353632,-0.06528723456696794,-0.003692283724624268,-0.16896443505398706,-0.20087499131674308
slow_trend_v10_g125_r10_b2_full,slow_trend,full,0.1,1.25,10,0.02,False,0.000524640818033939,0.03390740933315292,-0.1355251848927338,8.350216650411143,-0.06528723456696794,0.03666722581353632,-0.06528723456696794,-0.003692283724624268,-0.16896443505398706,-0.20087499131674308
slow_trend_v15_g100_r10_b5_full,slow_trend,full,0.15,1.0,10,0.05,False,0.00046565740425452695,0.032570014806348774,-0.13595471094105294,8.345207697459365,-0.06528723456696484,0.03782715703289785,-0.06528723456696484,-0.0037486607237220415,-0.1693570226754838,-0.2020687630429462
slow_trend_v15_g125_r10_b5_full,slow_trend,full,0.15,1.25,10,0.05,False,0.00046565740425452695,0.032570014806348774,-0.13595471094105294,8.345207697459365,-0.06528723456696484,0.03782715703289785,-0.06528723456696484,-0.0037486607237220415,-0.1693570226754838,-0.2020687630429462
slow_trend_v12_g100_r10_b5_full,slow_trend,full,0.12,1.0,10,0.05,False,0.0004656574042538608,0.03257001480632395,-0.13595471094105915,8.345207697459365,-0.06528723456696939,0.03782715703289807,-0.06528723456696939,-0.0037486607237220415,-0.16935702267548625,-0.20206876304297028
slow_trend_v12_g125_r10_b5_full,slow_trend,full,0.12,1.25,10,0.05,False,0.0004656574042538608,0.03257001480632395,-0.13595471094105915,8.345207697459365,-0.06528723456696939,0.03782715703289807,-0.06528723456696939,-0.0037486607237220415,-0.16935702267548625,-0.20206876304297028
slow_trend_v10_g100_r10_b5_full,slow_trend,full,0.1,1.0,10,0.05,False,0.000412775655413089,0.0313655695533988,-0.1359547109410566,8.337174192151728,-0.06528723456696883,0.0372244571026803,-0.06528723456696883,-0.0037972146370289783,-0.16935702267548103,-0.20289713563808331
slow_trend_v10_g125_r10_b5_full,slow_trend,full,0.1,1.25,10,0.05,False,0.000412775655413089,0.0313655695533988,-0.1359547109410566,8.337174192151728,-0.06528723456696883,0.0372244571026803,-0.06528723456696883,-0.0037972146370289783,-0.16935702267548103,-0.20289713563808331
