,equity,gross,turnover,min_margin_buffer,liquidated_notional,trading_costs,roll_costs,liquidation_penalty
2021-05-21 00:00:00+00:00,20777.406316930294,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-22 00:00:00+00:00,20533.642284753216,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-23 00:00:00+00:00,20218.76801445517,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-24 00:00:00+00:00,20876.378197847604,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-25 00:00:00+00:00,20875.57756818318,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-26 00:00:00+00:00,21098.462555143586,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-27 00:00:00+00:00,20927.896898744864,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-28 00:00:00+00:00,20673.69546604101,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-29 00:00:00+00:00,20528.401700319,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-30 00:00:00+00:00,20668.483628100817,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-31 00:00:00+00:00,20999.998628939426,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-01 00:00:00+00:00,21090.25365935144,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-02 00:00:00+00:00,21244.943664816685,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-03 00:00:00+00:00,21289.86579781496,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-04 00:00:00+00:00,21125.36777308064,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-05 00:00:00+00:00,21084.963681683585,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-06 00:00:00+00:00,21141.633748701024,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-07 00:00:00+00:00,20969.30569418342,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-08 00:00:00+00:00,20914.075555476447,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-09 00:00:00+00:00,20922.944472353807,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-10 00:00:00+00:00,20754.72763612488,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-11 00:00:00+00:00,20579.99667651272,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-12 00:00:00+00:00,20652.850679152816,0.0,0.0,1.0,0.0,0.0,0.0,0.0
