date,SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,HYG,GLD,DBC,UUP,FXE,FXY,FX_EURUSD,FX_GBPUSD,FX_AUDUSD,FX_NZDUSD,FX_USDJPY,FX_USDCAD,FX_USDCHF
2012-09-25 00:00:00+00:00,0.06434279495649455,0.041419250368463195,0.03917385573954447,0.018370802677176133,-0.007089171416337494,0.07569787484198419,0.024257133426903027,0.06077583863213984,0.10637327794095715,-0.003374883705478643,-0.020062616294521333,-0.0034005638560840393,-0.03754009986847015,0.04142724419734864,-0.008467091213900362,0.043893253341169676,0.0124451064908347,0.004499651195153339,-0.02172945373728123,-0.045860792782841095,0.014538391705724922
2012-09-26 00:00:00+00:00,0.06434279495649453,0.041419250368463195,0.03917385573954446,0.018370802677176133,-0.007089171416337493,0.07569787484198418,0.024257133426903024,0.06077583863213983,0.10637327794095713,-0.003374883705478629,-0.020062616294521333,-0.003400563856084041,-0.03754009986847015,0.04142724419734864,-0.008467091213900362,0.043893253341169676,0.012445106490834698,0.004499651195153341,-0.021729453737281225,-0.045860792782841095,0.014538391705724922
2012-09-27 00:00:00+00:00,0.06434279495649455,0.041419250368463195,0.039173855739544475,0.018370802677176133,-0.007089171416337495,0.0756978748419842,0.02425713342690303,0.06077583863213984,0.10637327794095716,-0.00337488370547865,-0.020062616294521347,-0.0034005638560840393,-0.03754009986847016,0.041427244197348646,-0.008467091213900364,0.04389325334116968,0.0124451064908347,0.004499651195153337,-0.021729453737281232,-0.045860792782841095,0.014538391705724924
2012-09-28 00:00:00+00:00,0.06434279495649456,0.04141925036846321,0.039173855739544475,0.018370802677176133,-0.007089171416337497,0.0756978748419842,0.024257133426903034,0.06077583863213985,0.10637327794095716,-0.003374883705478657,-0.020062616294521354,-0.003400563856084034,-0.037540099868470164,0.04142724419734865,-0.008467091213900366,0.04389325334116968,0.012445106490834704,0.0044996511951533365,-0.021729453737281235,-0.0458607927828411,0.014538391705724926
2012-10-01 00:00:00+00:00,0.06956785851412695,0.04440217386542653,0.043619623166938834,0.03404080025336487,0.00049161087708043,0.04036700817840739,0.01040987124365973,0.10994064151004854,0.07105573724629174,0.10150374201352441,0.0625587579864756,-0.028309319466497233,-0.022272996399855593,0.0587926841336472,-0.012143928150702202,0.03695460615550061,0.022413574546826968,0.02610681233814823,-0.01977786879880898,-0.03372795502354889,0.012937754986464111
2012-10-02 00:00:00+00:00,0.07196874958141528,0.04533565990070755,0.04454412344583389,0.03499337327364371,0.007293948449407941,0.0419578953489917,0.010587594148824762,0.08394775256989263,0.09687090328128264,0.10716109445702099,0.05690140554297904,-0.028771286790221506,-0.022660857124009972,0.05794285608576855,-0.0065181769879683925,0.03643673256961519,0.02205472329569823,0.02544633762820838,-0.0190757757196911,-0.04200616945399744,0.012524584344821281
2012-10-03 00:00:00+00:00,0.07196874958141528,0.04533565990070755,0.04454412344583388,0.034993373273643706,0.007293948449407941,0.0419578953489917,0.010587594148824762,0.08394775256989263,0.09687090328128264,0.10716109445702099,0.056901405542979025,-0.028771286790221506,-0.02266085712400997,0.05794285608576855,-0.0065181769879683925,0.03643673256961519,0.02205472329569823,0.025446337628208377,-0.0190757757196911,-0.04200616945399744,0.01252458434482128
2012-10-04 00:00:00+00:00,0.07196874958141528,0.04533565990070755,0.04454412344583388,0.0349933732736437,0.007293948449407941,0.04195789534899169,0.010587594148824762,0.08394775256989263,0.09687090328128264,0.10716109445702099,0.056901405542979025,-0.028771286790221506,-0.02266085712400997,0.05794285608576855,-0.0065181769879683925,0.03643673256961519,0.02205472329569823,0.025446337628208374,-0.0190757757196911,-0.04200616945399743,0.01252458434482128
2012-10-05 00:00:00+00:00,0.07196874958141528,0.04533565990070755,0.04454412344583389,0.034993373273643706,0.00729394844940794,0.0419578953489917,0.010587594148824764,0.08394775256989263,0.09687090328128264,0.10716109445702099,0.056901405542979025,-0.028771286790221506,-0.02266085712400997,0.05794285608576856,-0.0065181769879683925,0.03643673256961519,0.02205472329569823,0.025446337628208374,-0.0190757757196911,-0.04200616945399743,0.01252458434482128
2012-10-08 00:00:00+00:00,0.07196874958141528,0.04533565990070756,0.04454412344583389,0.03499337327364371,0.007293948449407943,0.0419578953489917,0.010587594148824766,0.08394775256989265,0.09687090328128266,0.10716109445702102,0.05690140554297904,-0.028771286790221513,-0.022660857124009975,0.05794285608576856,-0.006518176987968394,0.036436732569615195,0.02205472329569824,0.02544633762820838,-0.019075775719691105,-0.04200616945399745,0.012524584344821281
