candidate,eligible_selection,score,check_development_positive,check_validation_a_positive,check_validation_b_positive,check_selection_cagr_min,check_selection_sharpe_min,check_selection_max_drawdown_min,check_selection_turnover_max,check_worst_severe_period_min,selection_cagr,selection_sharpe,selection_dd,selection_turnover
tsmom+ma+crisis__vol08__cap075__r20__b05,False,-0.03367709920484102,True,False,True,False,False,True,False,False,0.003737423362517811,0.06840448250587636,-0.17059490912893305,18.626858805344355
tsmom+crisis__vol10__cap100__r5__b10,False,-0.03379210655524437,True,False,False,False,False,False,False,False,0.007480775405749984,0.1028071755439871,-0.2318431532330838,18.730690422038727
tsmom+breakout__vol10__cap100__r5__b05,False,-0.03424707934278863,True,False,True,False,False,True,False,False,0.0051907806627253805,0.07610611206086895,-0.19232179163930507,17.665216362632474
tsmom+breakout__vol10__cap100__r5__b10,False,-0.03444091575264613,True,False,True,False,False,True,False,False,0.005126371628817461,0.07515359436167691,-0.193307936362334,17.62249702898808
tsmom+crisis__vol10__cap125__r10__b10,False,-0.034527921450818,True,True,False,False,False,False,False,False,0.008785420640976316,0.10658166058753636,-0.22656699463657515,16.960141771271935
tsmom+crisis__vol10__cap125__r10__b05,False,-0.034711113717146067,True,True,False,False,False,False,False,False,0.00875220279917377,0.1061720824857589,-0.22686517636807024,17.02383153304314
crisis__vol12__cap125__r10__b10,False,-0.03527188603601901,True,True,False,False,False,True,True,False,0.0013506446391595706,0.01690792512277822,-0.2193919466342179,5.191857164487204
tsmom+crisis__vol10__cap100__r5__b05,False,-0.03576431716271618,True,False,False,False,False,False,False,False,0.006886396246650328,0.09470464620213946,-0.23425773589525845,18.953798945771908
tsmom__vol10__cap125__r10__b10,False,-0.03604617453909427,True,True,False,False,False,False,True,False,0.0037239021733697086,0.047856229029485914,-0.22737338616563552,11.972566433257725
tsmom+ma+breakout+crisis__vol08__cap075__r20__b05,False,-0.03621052306179967,True,False,True,False,False,True,False,False,0.003711047075496854,0.06791817911250647,-0.17672544687952896,19.95753663866435
