kind,symbol,month,url,bytes,sha256,checksum_available,checksum_passed,rows,missing
fundingRate,EOSUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/EOSUSDT/EOSUSDT-fundingRate-2020-04.zip,634,dc177079833b69c0d6d142265f5c543af24e50637c1033ef758a4defaefbfbd1,True,True,90,False
fundingRate,LTCUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/LTCUSDT/LTCUSDT-fundingRate-2020-04.zip,764,6d74e20eb4eec657716e98911e05fb42307e5bce51b79ee651bb2050f54246c7,True,True,90,False
fundingRate,DOGEUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/DOGEUSDT/DOGEUSDT-fundingRate-2020-04.zip,0,,False,,0,True
fundingRate,ETHUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/ETHUSDT/ETHUSDT-fundingRate-2020-04.zip,698,ce2208113358208182eaae41971fb5762e1794a04b4a606368416d08eea2d41b,True,True,90,False
klines,BNBUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/BNBUSDT/1h/BNBUSDT-1h-2020-04.zip,32442,ae462072c3ab11fd6e0d5b6e48fb14b2ea6d0d3547e67d2e27673b927828fd73,True,True,720,False
klines,LINKUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/LINKUSDT/1h/LINKUSDT-1h-2020-04.zip,32826,9bc46f4b26023bd5ebca0a2347cd9baf1aa1e74bb3f840adda889a58e44b2268,True,True,720,False
klines,DOTUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/DOTUSDT/1h/DOTUSDT-1h-2020-04.zip,0,,False,,0,True
fundingRate,ADAUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/ADAUSDT/ADAUSDT-fundingRate-2020-04.zip,660,511586b32b810ee7ba731bffe00502b8ffe7637fc4e512bda489c6f66d41528a,True,True,90,False
klines,TRXUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/TRXUSDT/1h/TRXUSDT-1h-2020-04.zip,29783,ab6b072b4d0c362a1ad2f7d0ed705520a4900694d83df7b32609964c6037da84,True,True,720,False
fundingRate,SOLUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/SOLUSDT/SOLUSDT-fundingRate-2020-04.zip,0,,False,,0,True
fundingRate,TRXUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/TRXUSDT/TRXUSDT-fundingRate-2020-04.zip,675,b3963ca0b369354cb1cb553a029f432b38b13391fa984f5d13cc62ac6ca36565,True,True,90,False
klines,SOLUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/SOLUSDT/1h/SOLUSDT-1h-2020-04.zip,0,,False,,0,True
klines,BCHUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/BCHUSDT/1h/BCHUSDT-1h-2020-04.zip,33537,bac45c46276f6f988c8b2da0e9575bafe908182806dd11574191e3e2d95cdbb4,True,True,720,False
fundingRate,BTCUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-05.zip,839,3f2b56dd6b9a42457009bb367d0adadd3cf7e2216cd325172d0089e3883125a8,True,True,93,False
klines,BTCUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2020-05.zip,38289,1eb7de25a14b8a6c70098b866a21ba2c35f1b55c9e1c1d4dadb431cd4d3e180d,True,True,744,False
klines,ETHUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1h/ETHUSDT-1h-2020-05.zip,35601,f07e9469646e3a4ad519523c5ea6b03abd015a08cf3a5b03640b1dd0ce0c7efd,True,True,744,False
fundingRate,ETHUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/fundingRate/ETHUSDT/ETHUSDT-fundingRate-2020-05.zip,769,77f5790ae26f95caee52b58317ee65d13b0eeb61f73d83482fd5d3aa153ab300,True,True,93,False
klines,BNBUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/klines/BNBUSDT/1h/BNBUSDT-1h-2020-05.zip,33040,26869dd5c8f0950f40e8701417acc41f8045c9fcc69e4f6a77de85097d899650,True,True,744,False
fundingRate,BNBUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/fundingRate/BNBUSDT/BNBUSDT-fundingRate-2020-05.zip,772,b5130658f9e7e79fc09518ceeaa888f18a5e4192128466e5fa67fef5e73fd253,True,True,93,False
klines,XRPUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/klines/XRPUSDT/1h/XRPUSDT-1h-2020-05.zip,32246,b6257ecb5bd3c2c9d7588e9dac3d8d2d2da6fadbf9e86af16e30a16bc1c2dc41,True,True,744,False
fundingRate,LINKUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/LINKUSDT/LINKUSDT-fundingRate-2020-04.zip,798,c9e6bc188f2198a66a77dff8da869d6eb1a874e977b0f00ba19fecff9a302c33,True,True,90,False
fundingRate,XRPUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/fundingRate/XRPUSDT/XRPUSDT-fundingRate-2020-05.zip,688,c4d8a6487c998d05f8c50c70b6ccdebda9fd0382c61ccde988b085bbf1ce43f9,True,True,93,False
fundingRate,DOTUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/DOTUSDT/DOTUSDT-fundingRate-2020-04.zip,0,,False,,0,True
klines,LTCUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/klines/LTCUSDT/1h/LTCUSDT-1h-2020-05.zip,32696,b312699321fb76f0bba71a65f7149c22c36b9a03fd395d9555c20c5bd92e3104,True,True,744,False
klines,BCHUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/klines/BCHUSDT/1h/BCHUSDT-1h-2020-05.zip,34234,f028339bc57f42205ab18cce36d33f3b6daac9272324896da3e13f7fbda1b994,True,True,744,False
fundingRate,BCHUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/fundingRate/BCHUSDT/BCHUSDT-fundingRate-2020-05.zip,726,083a707d9b60674401e07ab0b6fbf7e5e2ee325a56df8c821cafb9b848e589a4,True,True,93,False
fundingRate,ADAUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/fundingRate/ADAUSDT/ADAUSDT-fundingRate-2020-05.zip,776,461a0cd865487ff2526e23b363708e9096e4c1abb94b23886fd3163cef156708,True,True,93,False
klines,DOGEUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/klines/DOGEUSDT/1h/DOGEUSDT-1h-2020-05.zip,0,,False,,0,True
