policy,audit,period,total_return,cagr,sharpe,max_drawdown,annual_turnover,average_gross,max_gross,max_stress_gross,minimum_margin_buffer,liquidations,forced_exits,costs,funding_pnl,financing_drag,rebalance_events,average_risk_budget,final_equity
diversified_growth_k4_convex,severe,holdout_2025,-0.00733648289314881,-0.0073614332932420146,-0.07945515456509222,-0.04843449899981844,7.506697332437749,0.09120326618094228,0.24852494535699574,0.24613858087455842,0.9063961987154122,0,1,1428.9987999011676,-238.67204569154856,0.0,187,0.09109560965421484,9926.635171068512
diversified_growth_k4_convex,severe,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
diversified_growth_k4_convex,severe,full,2.106704897703203,0.22923674842409558,0.8847793142409466,-0.2752152928557483,8.605894178162185,0.08466462881437813,0.9234238878388421,0.9073136731618427,0.7362303508115664,0,1,7108.012709731627,-7796.083795377861,0.0,769,0.08355815579981664,31067.04897703203
diversified_growth_k4_convex,extreme,development,0.6893691437761238,0.1913189499032646,0.78863961779661,-0.2819080461352894,11.442048981173034,0.10222266773120009,0.9089678993521063,0.8792051312682296,0.6782884936455083,0,0,5236.851348706874,-7439.096964160575,0.0,405,0.10036331596760396,16893.691437761237
diversified_growth_k4_convex,extreme,validation_2024,0.037399507994534176,0.03742481487933591,0.670432755226079,-0.03774852543361751,4.65004896641828,0.049493422771890484,0.14323086099989038,0.11383000809854969,0.9530323710657879,0,0,789.7749100778101,-327.7609835739245,0.0,114,0.04915069326891256,10373.995079945342
diversified_growth_k4_convex,extreme,holdout_2025,-0.03038753022559393,-0.030489659303050032,-0.8810913551598035,-0.0426720045036848,4.53561294742339,0.051174056033884086,0.14101980132854666,0.12717608669902258,0.9617624726979048,0,1,786.0336761612973,-105.97110446099602,0.0,147,0.05100566185721351,9696.12469774406
diversified_growth_k4_convex,extreme,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
diversified_growth_k4_convex,extreme,full,0.6992950306419268,0.10135212784156722,0.5837950300756098,-0.2819080461352894,7.909188719346004,0.07410410779897543,0.9089678993521063,0.8792051312682296,0.6782884936455083,0,1,6812.659934945981,-7872.829052195497,0.0,666,0.07299653776723032,16992.95030641927
diversified_growth_k4_convex,delay_1d,development,2.8613030690943138,0.5699535176535284,1.3852610413580857,-0.25154084452606906,12.480408885328943,0.11707914835394344,0.901495470921168,0.8852343255747623,0.7428069647467334,0,0,3230.9912842496624,-4461.6264372101805,0.0,474,0.11532166535153884,38613.03069094314
diversified_growth_k4_convex,delay_1d,validation_2024,0.40387791381209937,0.40419436162580435,1.230618272961079,-0.15623336202465044,14.334299851829146,0.12955768699570527,0.9015257105319222,0.8985507362267343,0.7839237793034868,0,0,1915.773304279488,-979.1481236971249,0.0,206,0.12896935936597542,14038.779138120994
